oid,num_detections,redshift,distance_mpcZTF17aaaaaby,24,distance_mpc,first_mjd,last_mjd,first_utc,last_utc,duration_days,peak_luminosity,r_squared
ZTF17aaaadjb,66,N/A (No catsHTM match),,,,58335.462187500205,60169.44922449999,2018-08-05T11:05:33.000017664+00:00,2023-08-13T10:46:52.996798720+00:00,1833.987036999781,N/A,-2.9396724121610873e-06
ZTF17aaaadjc,31,N/A (No catsHTM match),,,,58455.262905099895,60728.18101850012,2018-12-03T06:18:35.000631040+00:00,2025-02-22T04:20:39.998410752+00:00,2272.9181134002283,N/A,
ZTF17aaaadje,128,N/A (No catsHTM match),,,,58367.44249999989,60977.340706000105,2018-09-06T10:37:11.999990272+00:00,2025-10-29T08:10:36.998408960+00:00,2609.8982060002163,N/A,0.050326544209791546
ZTF17aaaadjf,72,N/A (No catsHTM match),,,,58365.48721060017,60973.424872700125,2018-09-04T11:41:34.995854848+00:00,2025-10-25T10:11:49.001290752+00:00,2607.9376620999537,N/A,0.016908445824087015
ZTF17aaaadju,69,N/A (No catsHTM match),,,,58354.48354170006,60607.28026620019,2018-08-24T11:36:18.002884864+00:00,2024-10-24T06:43:34.999696640+00:00,2252.7967245001346,N/A,
ZTF17aaaadjv,80,N/A (No catsHTM match),,,,58356.45068289992,60979.39920140011,2018-08-26T10:48:59.002552576+00:00,2025-10-31T09:34:51.000969728+00:00,2622.9485185001977,N/A,-2.0139504743887926e-06
ZTF17aaaadkg,21,N/A (No catsHTM match),,,,58547.12546300003,60875.48952550022,2019-03-05T03:00:40.003202816+00:00,2025-07-19T11:44:55.003218944+00:00,2328.3640625001863,N/A,
ZTF17aaaadlm,135,N/A (No catsHTM match),,,,58343.48983799992,60981.36070600012,2018-08-13T11:45:22.003193088+00:00,2025-11-02T08:39:24.998410752+00:00,2637.870868000202,N/A,0.08111709042604376
ZTF17aaaadlo,150,N/A (No catsHTM match),,,,58347.493483799975,60983.34684030013,2018-08-17T11:50:37.000317952+00:00,2025-11-04T08:19:27.001931264+00:00,2635.853356500156,N/A,-3.084169114764279e-06
ZTF17aaaadmg,149,N/A (No catsHTM match),,,,58336.46582179982,60975.34195599984,2018-08-06T11:10:47.003504640+00:00,2025-10-27T08:12:24.998386432+00:00,2638.8761342000216,N/A,0.02254474516693128
ZTF17aaaadmn,124,N/A (No catsHTM match),,,,58425.35729169985,60961.34386570007,2018-11-03T08:34:30.002867200+00:00,2025-10-13T08:15:09.996485632+00:00,2535.9865740002133,N/A,0.16626482996802527
ZTF17aaaadmq,110,N/A (No catsHTM match),,,,58455.310636600014,60975.38039349997,2018-12-03T07:27:19.002241280+00:00,2025-10-27T09:07:45.998397696+00:00,2520.0697568999603,N/A,0.03562756855620841
ZTF17aaaadmw,89,N/A (No catsHTM match),,,,58353.49631940015,60983.34684030013,2018-08-23T11:54:41.996172544+00:00,2025-11-04T08:19:27.001931264+00:00,2629.850520899985,N/A,-1.864101442761168e-06
ZTF17aaaadni,29,N/A (No catsHTM match),,,,58365.446620400064,60689.2152315001,2018-09-04T10:43:08.002565376+00:00,2025-01-14T05:09:56.001608704+00:00,2323.7686111000367,N/A,-1.5939407238541037e-06
ZTF17aaaadqv,65,N/A (No catsHTM match),,,,58378.42658559978,60732.2172801001,2018-09-17T10:14:16.995821056+00:00,2025-02-26T05:12:53.000648704+00:00,2353.79069450032,N/A,
ZTF17aaaadrq,79,N/A (No catsHTM match),,,,58349.44850690011,60959.40486110002,2018-08-19T10:45:50.996169472+00:00,2025-10-11T09:42:59.999041536+00:00,2609.9563541999087,N/A,0.0044025619261549576
ZTF17aaaadrw,106,N/A (No catsHTM match),,,,58350.48923610011,60518.47923609987,2018-08-20T11:44:29.999049728+00:00,2024-07-27T11:30:05.999028736+00:00,2167.989999999758,N/A,-2.2527299174956994e-06
ZTF17aaaadsi,92,N/A (No catsHTM match),,,,58282.42660879996,60951.142442100216,2018-06-13T10:14:19.000316160+00:00,2025-10-03T03:25:06.997458688+00:00,2668.715833300259,N/A,0.032873638839827746
ZTF17aaaadsl,119,N/A (No catsHTM match),,,,58313.41466439981,60903.24907410005,2018-07-14T09:57:07.004143616+00:00,2025-08-16T05:58:40.002244352+00:00,2589.834409700241,N/A,0.03683916608678217
ZTF17aaaadsm,56,N/A (No catsHTM match),,,,58282.42660879996,60490.36344909994,2018-06-13T10:14:19.000316160+00:00,2024-06-29T08:43:22.002234880+00:00,2207.9368402999826,N/A,
ZTF17aaaadsn,86,N/A (No catsHTM match),,,,58366.49163189996,60743.15983799985,2018-09-05T11:47:56.996156672+00:00,2025-03-09T03:50:10.003186688+00:00,2376.6682060998864,N/A,-2.163287617928944e-06
ZTF17aaaadtx,52,N/A (No catsHTM match),,,,58287.404652799945,60949.15621529985,2018-06-18T09:42:42.001915392+00:00,2025-10-01T03:44:57.001907200+00:00,2661.751562499907,N/A,0.026029643189155793
